Date,PM2.5_Peenya,PM2.5_SilkBoard,PM2.5_Hombegowda,PM2.5_BapujiNagar,NO2_Peenya,NO2_SilkBoard,NO2_Hombegowda,NO2_BapujiNagar,NH3_Peenya,NH3_SilkBoard,NH3_Hombegowda,NH3_BapujiNagar,SO2_Peenya,SO2_SilkBoard,SO2_Hombegowda,SO2_BapujiNagar,CO_Peenya,CO_SilkBoard,CO_Hombegowda,CO_BapujiNagar,Temp_Peenya,Temp_SilkBoard,Temp_Hombegowda,Temp_ BapujiNagar,RH_Peenya,RH_SilkBoard,RH_Hombegowda,RH_BapujiNagar,AQI_Peenya,AQI_SilkBoard,AQI_Hombegowda,AQI_BapujiNagar
01-07-2018,14.53,30.48,30.48,24.12,18.41,27.88,27.88,17.01,32,22.57,22.57,12.9,7.85,9.31,7.85,7.48,0.67,0.65,0.67,0.51,24.2,25.92,24.2,26.53,73.36,72.01,73.36,72.91,56,88,34,46
02-07-2018,10.57,26.57,26.57,18.41,12.77,24.83,24.83,15.19,32.96,25.94,25.94,11.42,5.61,8.39,5.61,6.17,0.81,1.14,0.81,0.36,25.17,26.97,25.17,26.69,68.63,68.52,68.63,67.82,34,74,30,41
03-07-2018,18.16,38.04,29.87,24.3,17.3,23.03,32.25,16.15,29.24,24.51,25.68,11.85,4.63,9.53,4.37,7.4,0.63,1.59,0.58,0.45,25.37,27.73,25.47,26.64,67.52,68.92,67.04,68.4,27,70,21,24
04-07-2018,21.43,29.61,12.89,19.28,19.22,19.91,34.28,15.14,23.23,24.01,30.98,10.93,7.25,8.07,6.15,4.73,0.66,1.4,0.46,0.39,25.08,27.26,,26.66,68.49,68.32,70.82,67.12,33,76,20,17
05-07-2018,29.98,28.39,13.63,23.39,18.37,24.08,34.54,16.02,24.87,22.7,29.74,10.81,6.21,10.6,6.04,8.41,0.56,1.31,0.4,0.49,25.39,26.45,,26.67,66.13,64.96,67.8,64.67,37,96,23,24
06-07-2018,40.9,25.86,12.14,19.3,18.64,19.79,37.6,16.89,23.76,26.29,34.98,11.1,5.89,7.06,10.85,5.55,0.63,1.5,0.42,0.41,24.83,27.94,27.87,26.79,69.46,74.68,77.89,74.75,33,74,19,21
07-07-2018,20.93,20.62,8.47,18.01,19.24,19.18,33.07,17.52,24,24.84,31.93,10.92,5.98,6.32,15.8,6.11,0.66,1.16,0.53,0.37,24.53,28.07,27.3,26.49,70.48,77.2,79.94,76.4,26,65,21,23
08-07-2018,21.69,21.97,11.07,17.03,20.62,17.77,39.52,14.44,23.69,24.17,32.07,11.49,6.95,7.62,15.03,6.22,0.68,1.21,0.51,0.39,24.4,28.02,27.13,26.49,77.48,81.88,84.03,80.52,33,73,19,22
09-07-2018,22.94,28.44,15.45,23.73,16.3,20.92,48.84,18.2,23.49,22.15,36.16,11.95,6.09,8.97,14.46,6.75,0.66,1.76,0.66,0.51,25.29,26.08,27.32,26.51,69.27,81.17,83.49,80.29,42,77,23,30
10-07-2018,447.19,25.77,12.42,24.53,10.42,24.8,45.59,19.72,23.78,11.78,35.24,12.53,6.69,9.68,11.95,5.34,0.69,1.72,0.54,0.57,24.81,18.09,27.09,26.6,72.42,81.42,84.61,81.86,43,64,23,30
11-07-2018,32.05,23.31,11.35,19.93,10.67,22.89,33.16,18.15,24.1,11.7,33.79,11.42,7.16,11.85,19.71,7.03,0.69,1.7,0.6,0.39,24.28,18.48,27.16,26.83,75.21,79.73,82.2,75.52,37,92,31,37
12-07-2018,24.84,25.05,10.76,17.5,8.75,21.25,33.69,15.57,24.03,16.62,31.83,10.39,7.19,10.07,19.7,7.2,0.64,1.59,0.47,0.4,23.97,22.11,27.5,26.52,78.73,75.84,78.32,73.55,39,108,32,42
13-07-2018,20.4,22.72,12.62,19.56,9.06,31.71,32.47,16.83,23.39,24.88,30.86,10.54,6.53,6.61,15.94,6.24,0.67,1.49,0.36,0.41,23.97,27.17,27.48,26.59,75.16,71.77,79.72,75.35,40,83,19,25
